"","id","area","perims","shape","cumarea","ptot","parea","c_area","corepercent","edgepercent","ncores"
"1","3",2772.03610336163,237559.630640903,12.7282374373793,2823.00682151278,47.2529986462132,85.5699711074241,2104.34292832835,75.9132583365861,24.0867416634139,108
"5","134",176.539458054214,22712.7271545232,4.82218044183587,3068.70585279499,3.00934708690217,5.44959580674286,114.385345400726,64.7930760983752,35.2069239016248,9
"8","242",146.506433411872,10738.1661270327,2.50263110777429,3234.51065726515,2.49739470971441,4.52250649221437,115.305748410882,78.7035393092427,21.2964606907573,6
"0","1",50.9707181511504,5367.91421585033,2.12099799745202,50.9707181511504,0.868862881284996,1.57341488959301,35.6716673949093,69.9846278193044,30.0153721806956,2
"3","75",47.9618790206518,8280.20561215589,3.37278062637917,2881.57128354931,0.817573263812949,1.48053504681195,27.5691974244194,57.4814790149245,42.5185209850755,5
"2","6",10.6025830158713,2442.71587900937,2.11622666726969,2833.60940452865,0.180734962393803,0.32729109163908,4.72993775513025,44.6111834073818,55.3888165926182,3
"4","105",10.5951111914708,2429.06102550111,2.10513879270886,2892.16639474078,0.180607595326738,0.3270604439223,4.91722422011071,46.4103125606568,53.5896874393432,2
"6","155",10.4356499137061,2085.89371414664,1.82149294167902,3079.1415027087,0.177889368268584,0.322138034392882,5.15748526341539,49.4217926632592,50.5782073367408,1
"7","174",8.86272114458003,1323.07387370381,1.25370575420855,3088.00422385328,0.151076730111394,0.273583302668815,5.40883353875058,61.0290389431731,38.9709610568269,1
"9","294",4.98570750706197,893.529901191993,1.12886175605918,3239.49636477221,0.084987937132534,0.153903784590681,2.69151522251613,53.9846194086547,46.0153805913453,1
